object,ra,dec
HD146099,243.1798143391602878,43.6495841185782965
17 CrB B,243.6682808607853872,33.8575267185817026
sig02 CrB,243.6702226831735061,33.8586143416300018
18 Sco,243.9052928148556134,-8.3694394792859992
HD147379,244.1781097865394941,67.2388421264101055
HD148653A,247.2194212454560045,18.4140555887433983
HD148653B,247.2199206407547933,18.4137336557305993
HD149143,248.2127113229608142,2.0848278638474000
HD149724,249.2023184812182137,-6.2943028505329996
HD149806A,249.2851166021264930,0.2543404172420000
HD149933,249.4410427141783089,0.0401666702082000
HD151541,250.6607357734010861,68.1021642812359005
HD151288,251.2764605877503072,33.5092260600037974
HD152425,252.8082172808792905,44.1609643026470025
HD153525,254.4259499771391120,47.3621427955754015
HD153557A,254.4715776444238884,47.3666839127935972
HD154345,255.6516825376577060,47.0818789373477031
HD154363,256.2641434618876133,-5.0665108180129002
HD155358,257.3942401761378278,33.3558571027606021
HD156279,258.0966867316420235,63.3520920013097992
HD155712,258.1567605852583256,18.3511945768023992
HD156985,259.4600983739659910,52.4471135617973019
72 Her,260.1648643743330922,32.4677438774612028
HD157347,260.7136987798879773,-2.3881776107720998
HD158633,261.2504072558944017,67.3067079848867991
HD157881,261.4384684594023724,2.1114232590004001
HD159222,263.0041335338681279,34.2711482492399000
HD159304,263.1421012062252203,34.7465710816818998
HD163611,269.2183764651759930,4.9875906139837003
HD164595,270.1620603806676968,29.5719227312159987
HD164509,270.3801150054031837,0.1045566030592000
HD164651,270.5745100151547149,0.1041913398290000
HD164922,270.6285930923964997,26.3130013973016013
HD165261,270.6549784118395792,48.2990250139557986
HD165045,271.0078282159415153,1.8323897683532000
HD165173,271.1097927472687843,6.4363913049613002
70 Oph A,271.3635350549961913,2.5001462819313001
70 Oph B,271.3644289008066153,2.4989469968442002
HD165401,271.4060591027503051,4.6571658565192999
HD166620,272.4059008797502770,38.4577772267725990
HD168009,273.8852641704788766,45.2093168861321004
HD168443,275.0163887009763926,-9.5957262724641996
HD168746,275.4574278876306721,-11.9226812372062003
HD169822,276.5420115713880023,8.7775419111515003
HD170493,277.4683645685270790,-1.8181028321423001
HD234677,278.4823836300258222,51.7191382723016986
HD173739,280.6946016092276182,59.6303915147731018
HD173701,281.1463296048290772,43.8332750027055980
HD174080,282.1217709727453098,10.7454505997731005
HD175742,283.9717708611705120,23.5566479877772004
HD175726,284.1548849681190063,4.2651285633946996
HD176051A,284.2568193182871141,32.9013190797590980
HD176526,284.5964423432657782,47.8367698581135983
HD176377,284.7125124015061033,30.1806441151865990
HD176733,285.2764985276834864,15.6837190501787997
HD177153,285.4153253031818167,41.4900911419525968
HD178911B,287.2629101078123881,34.5998539993895022
HD179957,288.0194958470893880,49.8538882865375967
HD179958,288.0209393479561868,49.8557487464142000
HD180161,288.0473196321847809,57.6719796651530032
HD180684,289.2024321041416783,18.9763173597293999
HD182488,290.8917215250413051,33.2219662133021032
HD182619,291.1744741381021981,22.2015268260211016
b Aql,291.2424998809593149,11.9444134668137991
HD183263,292.1023806975701973,8.3580568120059997
HD183631,292.7418287996434856,-11.4846594646217000
HD183870,293.0279338984141759,-11.2749416127672006
61 Dra,293.0899592077504963,69.6611766125573979
HD185414,293.9816413582728956,56.9839114584040018
HD185501,294.4967643372925750,33.8932740483570001
HD186306,295.4401892586284930,43.7476989535229990
16 Cyg C,295.4539729368776761,50.5250609973295965
16 Cyg B,295.4665528441290121,50.5175247463419979
17 Cyg,296.6066668696128090,33.7275982037879984
HD187123,296.7421343653260237,34.4195226156314007
HD187923,298.0143265743952838,11.6283256317446995
HD189733,300.1821372640503114,22.7108536533045005
HD190007,300.6960237090614214,3.3261849525827998
HD190404,300.9671955077224084,23.3406858398262003
15 Sge,301.0259198672861203,17.0701879330788984
HD190470,301.0418576444427003,25.7902288518290987
HD190412,301.1943110606895857,1.1560462314888000
HD190605,301.2297703120560186,26.0542216897933017
HD191785,302.7753082927122819,16.1879980491303002
HD192145,303.2121140085474167,16.0954653195273991
HD192263,303.4993565819169135,-0.8668804623808000
HD192343,303.5382452228972738,6.5772144585924002
HD192344,303.5407149477389908,6.5889777296477998
HD195019,307.0776528398445180,18.7694945651311009
HD195987,308.2151752896464814,41.8984862722029021
HD195988,308.2561718629684719,41.4736365232592021
HD196850,309.6674586287206807,38.6350938905167993
HD197140,310.0871216775133803,38.7803085059273016
HD197076,310.1880863450019774,19.9355361439219010
HD197913A,311.5554638424595737,15.9073050275732992
HD198109,311.9100124700833021,16.2384398076504013
HD198425,312.3176308551771854,32.2847889715872967
HD199305,313.3324538375289876,62.1543936826101984
HD200077,314.9803156032378979,40.2588214868810965
HD200325,315.3587499717958735,40.6179975415162033
HD200560A,315.6698062108812906,45.8847694414197989
61 Cyg A,316.7247482895924122,38.7494173194371001
61 Cyg B,316.7302660185276864,38.7420440332954001
HD201651,316.7349513923725794,69.6745967860522057
HD200968A,316.7932548128350163,-13.9229245185658002
HD201470,317.2634541317369212,26.9896328039716984
HD201924,317.7952255301971149,45.4559155127945971
HD204814,322.4450702495300902,45.8944899995953008
HD204851,322.8955540121488070,-12.5138615931762001
HD206806,323.1974269484588262,83.9515936885078986
HD207485,326.4693280132091218,70.3480604722379042
HD207839,327.6545613202134177,49.4377873134590970
HD207874,328.0272250888560848,1.9064255820909000
HD208038,328.2723051944651047,20.9305197489411015
HD208313,328.6876637841311890,32.3285667878971026
HD209458,330.7948864431639890,18.8843192763469006
HD210144,331.6741687355786894,53.1306489905091013
iot Peg B,331.7527729590751164,25.3450989962376987
HD210483,332.6090100798987237,18.7971057561634005
HD212291,335.7882261858832180,9.4610825041647999
