ra_j2000,dec_j2000,primary_name,gaiadr2_source_id,gaiaedr3_source_id,hip,hd,tic,2mass,wisea,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,gmag,bp_rp,radial_velocity,radial_velocity_error,ref_epoch,gaia_teff,gaia_teff_lower,gaia_teff_upper,gaia_radius,gaia_radius_lower,gaia_radius_upper,gaia_lum,gaia_lum_lower,gaia_lum_upper,spectrum_hires,spectrum_hires_resolution,spectrum_hires_nobs,spectrum_hires_snr,spectrum_harps,spectrum_harps_nobs,spectrum_harps_snr,spectrum_sophie,spectrum_sophie_nobs,spectrum_sophie_snr,spectrum_hermes,spectrum_hermes_snr,spectrum_hermes_nobs
242.360947938324,11.5744577463351,HD145229,4456798781792997888,4456798781792997888,79165,145229,291067698,16092662+1134282,J160926.56+113428.6,242.36049445076,0.0153,11.57490124247,0.0132,29.6032,0.02,-99.96,0.019,99.787,0.017,7.301699,0.758794,-36.28,0.15,J2016.0,5935.0,5887.0,5977.66650390625,0.9565042853355408,0.9428986310958862,0.9721657037734985,1.0227075815200806,1.0205787420272827,1.0248364210128784,true,71600.0,1,84.0,,,,true,1,43.7,,,
241.0011993408718,73.1483683662099,HD145368,1702418868838865536,1702418868838865536,78703,145368,160534539,16040030+7308540,J160400.17+730854.9,241.00040690736,0.0142,73.14876869974,0.0146,18.9243,0.0157,-51.687,0.018,90.075,0.019,6.732007,0.635605,-21.25,0.16,J2016.0,6333.0,6305.0498046875,6370.25,1.7102928161621094,1.6903494596481323,1.725489854812622,4.239099502563477,4.227391719818115,4.250807285308838,,,,,,,,true,32,232.9,,,
242.3228724712259,41.0952006284659,HD145435,1380263027052621696,1380263027052621696,79152,145435,310517307,16091749+4105427,J160917.28+410543.5,242.32162100927,0.042,41.09549707672,0.0467,27.1968,0.0534,-212.203,0.051,66.699,0.061,6.577317,0.684375,-42.49,0.14,J2016.0,6202.33349609375,6145.0,6236.0,1.3292303085327148,1.314916729927063,1.3541496992111206,2.3556764125823975,2.351524591445923,2.359828233718872,,,,,,,,true,4,305.8,,,
242.5655522684966,40.5557105130199,HD145605,1380044945793210240,1380044945793210240,79234,145605,310517930,16101573+4033206,J161015.65+403321.5,242.56504900428,0.0208,40.55612228984,0.0234,18.7434,0.0265,-86.033,0.025,92.65,0.033,7.586171,0.69097,-40.92,7.49,J2016.0,6136.0,6102.0,6180.5,1.2451515197753906,1.2272857427597046,1.2590659856796265,1.9800699949264526,1.9747949838638306,1.9853450059890747,,,,,,,,,,,true,165.9166804866829,1
242.7251026269288,30.9854022998703,HD145645,1321957952654963968,1321957952654963968,79285,145645,17466464,16105403+3059077,J161053.94+305905.8,242.72466554651,0.0103,30.98463753435,0.0136,17.8756,0.0161,-84.309,0.013,-172.072,0.019,7.264475,0.848372,1.58,0.13,J2016.0,5716.33349609375,5665.33349609375,6279.009765625,1.7538517713546753,1.4536025524139404,1.7855706214904785,2.9590389728546143,2.951962471008301,2.9661154747009277,,,,,,,,true,3,95.9,,,
239.3383760971963,82.5477307065139,HD145709,1722961422538718208,1722961422538718208,,145709,159416824,15572122+8232517,J155721.53+823251.7,239.34047259129,0.0168,82.54767301535,0.0159,24.9337,0.0171,61.181,0.023,-12.982,0.022,7.901498,0.800999,-4.74,0.16,J2016.0,5847.66650390625,5772.0,5901.0,0.8898850679397583,0.8738721013069153,0.9133694171905518,0.834243655204773,0.8328525424003601,0.8356347680091858,,,,,,,,,,,true,161.507787594218,1
242.8488781432702,28.4385258906134,HD145729,1316920711932740992,1316920711932740992,79327,145729,236343611,16112373+2826187,J161123.65+282617.8,242.84835516225,0.0112,28.43817998677,0.013,22.5821,0.0169,-103.471,0.015,-77.829,0.018,7.459294,0.724623,-34.56,0.17,J2016.0,6109.33349609375,5997.73291015625,6151.25,1.0988813638687134,1.083956241607666,1.1401559114456177,1.5155549049377441,1.5125235319137573,1.518586277961731,,,,,,,,,,,,,
242.7381474809246,49.0636516411051,HD145872,1399452116297368448,1399452116297368448,79292,145872,162519062,16105716+4903491,J161057.09+490349.9,242.73777870611,0.0136,49.06400064392,0.0141,13.0155,0.0153,-54.366,0.018,78.526,0.018,7.986887,0.613927,-24.28,0.32,J2016.0,6344.0,6231.625,6493.43994140625,1.383626937866211,1.320674180984497,1.433978796005249,2.793736219406128,2.7833688259124756,2.8041036128997803,,,,,,,,,,,,,
242.6968783065885,59.6754075240029,HD146044,1623464622475718656,1623464622475718656,79276,146044,207402722,16104725+5940316,J161047.20+594030.3,242.69652753512,0.0165,59.67488999137,0.0174,23.6036,0.0196,-39.848,0.023,-116.445,0.024,7.945756,0.863271,-67.32,0.15,J2016.0,5643.75,5583.0,5699.0,0.9974214434623718,0.9781758189201355,1.0192458629608154,0.9093334674835205,0.9072566628456116,0.9114102721214294,,,,,,,,true,2,70.3,,,
243.5669199153178,-3.4735948483498,HD146050,4357052461311284992,4357052461311284992,79585,146050,74040874,16141605-0328247,J161416.05-032825.8,243.56688124181,0.0245,-3.47400275806,0.0148,18.1569,0.0284,-8.686,0.031,-91.78,0.018,7.807484,0.871609,-0.81,0.12,J2016.0,5571.0,5497.0,5650.0,1.422534465789795,1.383031964302063,1.461092233657837,1.7561149597167969,1.7458057403564453,1.7664241790771484,true,71600.0,1,89.0,,,,,,,,,
243.0631222759237,46.2260297488658,HD146079,1386862742518900992,1386862742518900992,79398,146079,219487439,16121515+4613334,J161215.02+461336.0,243.06232974618,0.0136,46.22701001716,0.0162,13.4714,0.016,-123.364,0.017,220.56,0.021,7.675708,0.715902,-23.47,0.15,J2016.0,6107.0,6026.9423828125,6155.66650390625,1.6729496717453003,1.646601676940918,1.7176893949508667,3.507293939590454,3.494872808456421,3.5197150707244873,,,,,,,,true,15,170.6,,,
