Name	S2D SOPHIE	SNR co-added SOPHIE
HD97658	4	180.2
HD97657	6	107.2
HD98281	1	91.6
HD98697	3	190.7
HD98618	2	74.2
HD99233	11	141.2
HD99419	2	80.5
HD99505	7	242.8
HD100069	4	81.0
HD100067	3	104.1
HD100167	2	132.1
HD100339	3	88.4
HD100360	1	125.7
HD100446	12	443.0
HD100667	2	63.4
HD101242	54	462.8
HD101676	10	482.1
HD101690	3	205.1
HD102158	8	313.3
HD102195	11	130.1
HD102618	7	329.3
HD102732	4	87.8
HD102747	4	86.4
HD103095	299	699.6
HD103799	4	116.4
HD103847	14	169.9
HD103890	1	48.7
HD104289	9	105.7
HD104956	1	45.9
HD105405	3	92.7
HD105421	4	83.5
HD105442	21	184.8
HD105485	2	65.4
HD105567	5	115.4
HD105844	3	106.5
HD105963B	19	289.9
HD105963	19	289.9
HD106105	2	74.6
HD106156	2	77.0
HD106210	101	569.2
HD106423	3	98.9
HD107113	41	659.0
HD107146	32	431.3
HD107148	1	49.0
HD107303	3	83.2
HD108024	2	56.2
HD108076	5	101.2
HD108134	2	174.9
HD108574	28	274.8
HD108793	4	112.6
HD108942	6	121.8
HD108954	1	39.9
HD108984	31	180.0
HD109011	11	262.6
HD109202	4	84.9
HD109413	2	93.2
HD109344	4	91.0
bet CVn	297	758.7
HD109464	3	81.6
HD109625	24	163.1
HD109839	4	143.0
HD110313	55	269.1
HD110408	5	113.5
HD110463	25	237.9
HD110514	1	51.1
HD110537	1	57.6
HD110869	3	74.3
HD110979	1	55.9
HD111066	1	37.5
HD111395	8	215.7
HD111513	35	467.4
HD111398	41	480.3
HD111470	3	74.9
HD111515	77	495.7
HD111631	1	47.5
HD112001	5	123.8
HD112257	2	48.6
HD112735	25	430.3
HD112956	49	445.0
HD112974	27	219.6
HD113392	3	79.3
HD113319	2	157.1
HD113425	1	46.1
HD113621	8	122.3
HD114036	3	71.3
HD114060	35	202.8
HD114174	1	127.3
HD114446	5	129.2
HD115043	33	666.6
HD116459	4	95.8
HD115404	20	363.0
HD115519	3	75.8
HD115755	51	457.3
HD115968	2	56.6
HD116091	2	79.0
HD116056	52	197.2
HD116316	10	137.9
HD116497	4	88.2
HD117655	4	96.7
HD116956	6	229.6
HD117043	51	422.9
HD117140	2	66.2
HD117845	19	174.4
HD117697	1	51.9
HD117858	7	331.2
HD117936	2	160.2
HD118051	5	79.1
HD118865	3	80.8
HD119054	4	87.6
HD119056	5	316.7
HD119332	31	305.6
HD119929	5	95.7
HD119992	68	956.5
HD120162	4	84.2
HD119850	3	63.4
HD120004	33	218.9
HD120005	13	528.3
HD120066	120	763.6
HD121320	5	93.1
HD121560	43	560.1
HD121608	1	48.2
HD121825	16	165.9
HD122518	4	80.5
HD122674	9	167.1
HD122652	6	271.4
HD122742	1	120.6
HD122946	3	90.4
HD123300	2	67.3
HD122973	1	45.7
HD124330	64	251.3
HD124106	1	46.5
